payment_id,ride_id,amount,method,discount_applied,timestamp
79,79,28.43,Card,4.69,2024-11-04 11:08:24.585057
80,80,80.7,Cash,1.5,2025-03-06 19:49:24.585057
81,81,99.63,Wallet,1.97,2024-05-17 03:59:24.585057
82,82,61.42,Wallet,2.69,2024-10-02 07:43:24.585057
83,83,74.59,Wallet,3.72,2024-09-26 02:03:24.585057
84,84,9.98,Wallet,0.23,2024-12-08 21:14:24.585057
85,85,58.83,Cash,4.55,2025-01-28 20:41:24.585057
86,86,45.03,Wallet,4.14,2025-02-17 16:57:24.585057
87,87,26.24,Cash,3.13,2024-08-20 10:53:24.585057
88,88,49.55,Wallet,1.27,2024-10-26 18:41:24.585057
89,89,7.95,Wallet,3.14,2024-06-01 05:00:24.585057
90,90,50.85,Cash,2.3,2024-11-28 20:58:24.585057
91,91,69.05,Card,1.21,2024-08-30 12:01:24.585057
92,92,6.06,Card,4.77,2024-10-15 03:26:24.585057
93,93,26.17,Cash,1.68,2024-08-02 06:32:24.585057
94,94,13.42,Wallet,2.31,2024-04-16 23:40:24.585057
95,95,14.01,Card,0.46,2024-05-14 16:31:24.585057
96,96,17.73,Card,2.42,2024-07-15 11:22:24.585057
97,97,51.67,Cash,1.28,2024-05-17 21:46:24.585057
98,98,20.91,Cash,4.35,2024-12-30 21:14:24.585057
99,99,15.1,Cash,2.28,2024-04-19 18:54:24.585057
100,100,88.82,Card,0.12,2025-01-14 16:41:24.585057
101,101,25.88,Card,0.72,2025-02-21 18:32:24.585057
102,102,53.71,Cash,2.55,2024-05-07 19:24:24.585057
103,103,88.7,Card,2.2,2024-07-02 21:04:24.585057
104,104,79.55,Wallet,0.46,2024-05-17 19:09:24.585057
105,105,56.33,Card,1.36,2024-05-22 14:38:24.585057
106,106,29.22,Card,4.6,2025-02-21 19:32:24.585057
107,107,30.16,Card,3.82,2025-01-10 18:18:24.585057
108,108,30.2,Card,1.53,2025-01-25 00:36:24.585057
109,109,50.73,Wallet,4.93,2024-12-10 22:42:24.585057
110,110,18.52,Cash,2.47,2024-08-05 17:01:24.585057
111,111,32.42,Cash,3.0,2024-11-05 01:10:24.585057
112,112,80.4,Card,0.79,2025-02-21 14:59:24.585057
113,113,72.5,Cash,3.22,2025-01-13 20:58:24.585057
114,114,83.51,Cash,3.59,2025-02-27 23:14:24.585057
115,115,60.06,Card,1.71,2024-10-20 12:56:24.585057
116,116,11.69,Cash,1.28,2025-01-10 03:03:24.585057
117,117,78.44,Cash,2.38,2024-10-06 17:14:24.585057
118,118,73.31,Cash,4.96,2024-10-25 03:25:24.585057
119,119,68.85,Wallet,2.68,2025-03-23 06:06:24.585057
120,120,71.05,Cash,1.92,2024-06-23 20:32:24.585057
121,121,85.7,Cash,0.42,2024-11-26 01:03:24.585057
122,122,65.81,Cash,2.96,2024-06-30 09:51:24.585057
123,123,35.72,Wallet,4.79,2025-02-04 16:27:24.585057
124,124,33.97,Card,3.3,2025-02-21 23:11:24.585057
125,125,24.48,Cash,0.12,2025-01-14 12:07:24.585057
126,126,62.35,Card,1.89,2024-08-09 22:11:24.585057
127,127,30.2,Cash,1.82,2025-02-15 06:05:24.585057
128,128,85.23,Wallet,4.35,2024-05-11 19:49:24.585057
129,129,67.97,Cash,2.13,2024-06-26 14:42:24.585057
130,130,51.82,Cash,1.92,2024-06-26 06:44:24.585057
131,131,50.37,Card,4.39,2025-01-01 10:34:24.585057
132,132,38.79,Wallet,0.37,2025-01-06 05:25:24.585057
133,133,54.49,Cash,0.31,2024-06-06 22:53:24.585057
134,134,32.3,Card,2.16,2024-09-18 04:56:24.585057
135,135,80.75,Card,1.1,2024-04-21 04:18:24.585057
136,136,23.84,Card,4.69,2024-07-02 02:35:24.585057
137,137,16.46,Card,1.11,2025-02-07 14:06:24.585057
138,138,13.76,Cash,4.75,2024-10-27 17:04:24.585057
139,139,8.02,Wallet,0.19,2024-10-17 04:54:24.585057
140,140,84.55,Wallet,0.82,2025-01-31 16:43:24.585057
141,141,39.41,Wallet,2.88,2024-10-22 23:39:24.585057
142,142,9.78,Wallet,4.81,2024-12-13 06:25:24.585057
143,143,16.31,Card,1.11,2025-02-28 07:15:24.585057
144,144,63.15,Card,1.35,2024-10-21 06:10:24.585057
145,145,26.22,Cash,1.89,2024-08-20 08:26:24.585057
146,146,33.81,Card,2.49,2024-08-03 20:53:24.585057
147,147,26.63,Wallet,4.45,2024-04-23 20:00:24.585057
148,148,80.7,Wallet,3.39,2025-01-04 10:05:24.585057
149,149,92.68,Card,3.8,2024-04-22 15:18:24.585057
150,150,48.72,Cash,1.98,2025-01-09 04:34:24.585057
151,151,14.62,Wallet,2.46,2024-05-31 08:22:24.585057
152,152,52.76,Cash,0.83,2024-09-04 02:05:24.585057
153,153,22.77,Wallet,0.09,2024-12-21 23:39:24.585057
154,154,97.79,Wallet,4.37,2024-05-25 08:34:24.585057
155,155,6.37,Wallet,4.03,2024-12-14 14:41:24.585057
156,156,32.73,Wallet,0.7,2024-12-14 07:49:24.585057
157,157,50.24,Cash,0.53,2024-08-06 20:16:24.585057
158,158,60.61,Wallet,0.53,2024-05-30 08:29:24.585057
159,159,62.04,Cash,4.31,2024-10-14 19:17:24.585057
160,160,63.15,Wallet,2.67,2024-04-20 04:41:24.585057
161,161,58.74,Card,2.2,2024-09-19 11:25:24.585057
162,162,67.86,Card,2.54,2024-09-02 10:30:24.585057
163,163,58.02,Card,4.68,2025-02-22 04:37:24.585057
164,164,96.21,Cash,3.39,2024-06-01 11:50:24.585057
165,165,33.65,Card,4.42,2025-02-05 01:42:24.585057
166,166,45.75,Card,4.88,2024-05-15 08:36:24.585057
167,167,62.82,Wallet,2.81,2024-11-09 22:03:24.585057
168,168,13.75,Card,2.31,2024-11-01 20:09:24.585057
169,169,64.6,Wallet,2.28,2024-05-16 11:28:24.585057
170,170,41.33,Cash,2.96,2024-09-12 10:05:24.585057
171,171,24.01,Wallet,2.45,2024-11-23 09:41:24.585057
172,172,87.92,Cash,1.37,2024-09-14 21:40:24.585057
173,173,43.15,Wallet,1.06,2024-07-06 03:22:24.585057
174,174,51.54,Wallet,2.69,2024-10-21 02:58:24.585057
175,175,45.97,Wallet,4.57,2025-02-14 18:54:24.585057
176,176,31.8,Wallet,2.99,2024-07-08 06:01:24.585057
177,177,7.26,Card,4.98,2025-03-02 09:26:24.585057
178,178,23.61,Cash,3.49,2024-04-23 03:18:24.585057
179,179,90.17,Card,4.95,2025-03-26 20:15:24.585057
180,180,38.82,Cash,3.35,2025-01-31 09:03:24.585057
181,181,16.3,Wallet,3.93,2024-09-12 02:04:24.585057
182,182,28.02,Card,4.76,2024-11-06 05:17:24.585057
183,183,12.15,Wallet,0.44,2024-07-29 11:46:24.585057
184,184,24.21,Card,0.48,2024-09-06 03:48:24.585057
185,185,12.36,Wallet,0.1,2025-04-02 22:16:24.585057
186,186,27.44,Card,3.47,2025-02-21 12:21:24.585057
187,187,96.46,Cash,3.21,2024-04-17 02:20:24.585057
188,188,47.78,Cash,2.77,2024-06-20 06:46:24.585057
189,189,34.04,Card,4.35,2024-07-23 21:17:24.585057
190,190,58.12,Wallet,0.89,2024-06-29 16:54:24.585057
191,191,47.64,Card,3.5,2025-02-05 00:55:24.585057
192,192,15.0,Card,3.22,2025-01-01 02:26:24.585057
193,193,57.51,Wallet,1.51,2024-07-24 21:08:24.585057
194,194,54.27,Wallet,4.85,2024-08-08 04:34:24.585057
195,195,16.0,Cash,3.58,2025-04-02 19:02:24.585057
196,196,54.23,Cash,2.94,2024-12-29 08:39:24.585057
197,197,34.11,Wallet,1.92,2024-12-08 18:21:24.585057
198,198,73.99,Card,0.49,2025-01-14 08:23:24.585057
199,199,92.58,Card,2.88,2024-12-05 05:46:24.585057
200,200,47.86,Cash,1.08,2024-06-22 14:35:24.585057
201,201,45.5,Card,4.05,2024-07-29 10:10:24.585057
202,202,85.99,Wallet,0.97,2024-09-16 02:12:24.585057
203,203,35.22,Wallet,2.37,2025-02-16 07:34:24.585057
204,204,48.99,Wallet,4.67,2024-11-08 18:24:24.585057
205,205,60.58,Cash,2.88,2025-03-27 13:10:24.585057
206,206,86.51,Cash,3.71,2025-01-12 07:07:24.585057
207,207,62.31,Cash,2.99,2025-03-27 10:00:24.585057
208,208,30.52,Cash,2.55,2024-10-28 07:54:24.585057
209,209,33.69,Card,0.87,2024-09-27 20:03:24.585057
210,210,51.2,Wallet,3.02,2025-03-22 14:41:24.585057
211,211,78.19,Wallet,4.69,2024-08-06 20:13:24.585057
212,212,45.33,Wallet,4.5,2025-01-29 13:16:24.585057
213,213,56.32,Wallet,0.76,2024-07-02 12:51:24.585057
214,214,58.97,Card,3.3,2025-03-09 23:01:24.585057
215,215,26.28,Card,4.95,2024-05-16 18:50:24.585057
216,216,28.57,Wallet,2.11,2024-08-12 06:20:24.585057
217,217,56.51,Wallet,3.73,2024-10-01 08:23:24.585057
218,218,79.39,Wallet,1.39,2025-03-03 11:23:24.585057
219,219,31.33,Wallet,0.79,2024-07-24 09:22:24.585057
220,220,90.25,Wallet,3.07,2024-10-25 10:06:24.585057
221,221,14.44,Cash,2.2,2024-04-26 08:31:24.585057
222,222,74.33,Card,2.15,2024-08-03 14:57:24.585057
223,223,87.38,Cash,4.8,2024-07-08 07:26:24.585057
224,224,35.12,Card,0.56,2025-02-25 17:45:24.585057
225,225,26.25,Card,4.01,2024-09-20 04:04:24.585057
226,226,65.78,Wallet,1.4,2025-01-22 15:42:24.585057
227,227,29.53,Cash,3.26,2025-04-12 20:17:24.585057
228,228,45.54,Wallet,2.17,2025-02-10 04:11:24.585057
229,229,98.01,Cash,2.7,2025-02-26 01:51:24.585057
230,230,49.27,Card,4.85,2025-03-11 19:00:24.585057
231,231,42.71,Card,2.14,2025-03-17 11:39:24.585057
232,232,44.98,Cash,2.77,2024-05-13 10:10:24.585057
233,233,59.67,Cash,0.55,2024-07-13 06:04:24.585057
234,234,48.32,Card,2.98,2025-02-07 18:44:24.585057
235,235,44.39,Cash,1.22,2025-02-09 01:15:24.585057
236,236,29.28,Wallet,0.46,2025-03-05 11:00:24.585057
237,237,67.26,Wallet,4.14,2025-03-13 06:52:24.585057
238,238,54.62,Wallet,2.02,2024-06-26 02:20:24.585057
239,239,81.01,Wallet,4.67,2025-01-12 02:00:24.585057
240,240,7.02,Wallet,1.15,2024-05-14 17:00:24.585057
241,241,95.91,Card,4.85,2025-02-26 06:35:24.585057
242,242,83.96,Cash,4.81,2024-05-18 08:07:24.585057
243,243,28.22,Card,2.55,2024-08-24 08:16:24.585057
244,244,92.17,Wallet,2.94,2024-08-28 10:48:24.585057
245,245,45.86,Card,3.44,2024-11-21 09:14:24.585057
246,246,77.07,Card,2.35,2024-06-04 15:41:24.585057
247,247,11.37,Wallet,3.13,2024-08-13 17:03:24.585057
248,248,74.74,Cash,1.43,2024-05-10 00:17:24.585057
249,249,50.07,Cash,4.26,2024-12-17 03:35:24.585057
250,250,55.08,Cash,2.61,2024-06-26 06:47:24.585057
251,251,62.13,Wallet,2.38,2024-08-13 09:00:24.585057
252,252,32.68,Wallet,3.46,2024-05-17 04:04:24.585057
253,253,79.34,Wallet,1.48,2024-10-21 00:33:24.585057
254,254,15.05,Wallet,3.89,2024-11-10 10:46:24.585057
255,255,38.99,Cash,0.58,2024-08-22 02:39:24.585057
256,256,92.45,Cash,2.24,2024-08-04 15:04:24.585057
257,257,45.1,Card,0.82,2024-05-22 19:54:24.585057
258,258,91.69,Cash,1.22,2025-01-24 07:31:24.585057
259,259,35.15,Cash,3.04,2024-09-09 17:27:24.585057
260,260,84.44,Card,2.86,2024-12-06 21:03:24.585057
261,261,45.76,Card,2.64,2025-01-01 22:16:24.585057
262,262,56.13,Wallet,2.07,2025-01-10 08:30:24.585057
263,263,5.57,Cash,3.73,2024-12-16 23:40:24.585057
264,264,69.03,Card,2.1,2024-08-26 13:44:24.585057
265,265,13.8,Card,4.21,2024-10-31 07:13:24.585057
266,266,81.33,Cash,3.21,2024-12-22 18:25:24.585057
267,267,18.6,Wallet,3.12,2024-11-27 20:54:24.585057
268,268,50.58,Cash,2.78,2024-07-20 02:31:24.585057
269,269,63.31,Wallet,3.13,2024-05-24 04:06:24.585057
270,270,7.72,Wallet,4.44,2025-03-05 06:23:24.585057
271,271,7.12,Card,0.21,2024-09-26 03:39:24.585057
272,272,71.41,Card,4.18,2024-12-17 09:42:24.585057
273,273,44.08,Card,1.36,2024-09-28 21:20:24.585057
274,274,87.63,Card,0.89,2025-02-05 06:02:24.585057
275,275,75.35,Wallet,2.25,2024-10-28 08:44:24.585057
276,276,59.63,Wallet,2.09,2024-12-22 04:23:24.585057
277,277,30.88,Cash,0.53,2025-03-24 08:51:24.585057
278,278,73.76,Card,0.97,2025-04-14 15:23:24.585057
279,279,66.03,Wallet,3.97,2024-07-14 11:50:24.585057
280,280,54.32,Wallet,2.86,2024-05-13 10:36:24.585057
281,281,33.36,Wallet,3.81,2024-12-28 08:06:24.585057
282,282,77.08,Cash,2.5,2024-10-17 05:04:24.585057
283,283,94.72,Card,4.69,2025-01-06 18:51:24.585057
284,284,86.84,Wallet,4.54,2024-12-15 13:08:24.585057
285,285,58.83,Cash,3.88,2025-04-09 16:32:24.585057
286,286,97.14,Wallet,2.04,2025-04-01 23:55:24.585057
287,287,51.92,Wallet,1.84,2025-03-31 19:35:24.585057
288,288,22.35,Cash,3.17,2024-07-06 17:00:24.585057
289,289,31.54,Card,2.8,2024-04-27 07:01:24.585057
290,290,39.71,Cash,0.62,2025-03-16 09:10:24.585057
291,291,30.75,Wallet,2.26,2025-01-12 00:41:24.585057
292,292,46.15,Card,3.05,2024-05-26 12:16:24.585057
293,293,93.25,Cash,4.83,2024-05-30 03:19:24.585057
294,294,37.84,Cash,4.29,2025-01-15 22:25:24.585057
295,295,8.21,Card,1.48,2024-05-09 13:50:24.585057
296,296,51.28,Card,0.36,2024-07-24 20:04:24.585057
297,297,40.41,Card,2.76,2024-10-15 17:41:24.585057
298,298,55.95,Card,3.07,2024-06-29 09:18:24.585057
299,299,33.01,Wallet,4.26,2024-05-05 21:58:24.585057
300,300,32.34,Wallet,2.86,2024-08-03 13:22:24.585057
301,301,17.39,Wallet,4.42,2024-05-26 06:02:24.585057
302,302,49.35,Cash,0.33,2024-06-30 21:28:24.585057
303,303,7.67,Cash,2.76,2025-02-12 18:52:24.585057
304,304,80.9,Card,0.22,2024-12-08 11:54:24.585057
305,305,49.51,Wallet,3.37,2024-10-09 06:09:24.585057
306,306,89.59,Cash,3.17,2025-01-28 22:17:24.585057
307,307,26.47,Wallet,2.77,2025-01-28 00:40:24.585057
308,308,68.96,Card,1.7,2024-08-05 11:04:24.585057
309,309,89.41,Card,0.62,2024-11-30 12:21:24.585057
310,310,47.13,Card,3.87,2024-08-02 09:45:24.585057
311,311,42.96,Card,1.44,2025-02-05 15:25:24.585057
312,312,20.71,Wallet,2.9,2024-06-08 19:30:24.585057
313,313,72.52,Cash,4.85,2024-09-14 12:15:24.585057
314,314,57.24,Wallet,3.08,2025-02-11 09:54:24.585057
315,315,81.42,Card,0.54,2024-10-09 21:34:24.585057
316,316,99.95,Cash,2.95,2025-03-02 04:39:24.585057
317,317,23.79,Card,3.23,2024-11-01 22:47:24.585057
318,318,94.55,Card,0.26,2024-04-24 14:54:24.585057
319,319,64.06,Cash,2.7,2025-03-19 20:34:24.585057
320,320,14.07,Card,2.59,2025-01-26 18:28:24.585057
321,321,61.67,Cash,1.93,2024-10-29 06:36:24.585057
322,322,38.41,Cash,0.48,2024-11-22 06:35:24.585057
323,323,7.39,Cash,3.37,2024-07-11 10:56:24.585057
324,324,20.83,Wallet,0.36,2024-06-15 17:45:24.585057
325,325,8.84,Cash,3.55,2024-05-14 09:49:24.585057
326,326,12.47,Card,4.64,2024-06-03 13:57:24.585057
327,327,43.96,Card,3.9,2024-12-01 02:38:24.585057
328,328,79.04,Card,2.32,2024-07-24 16:52:24.585057
329,329,35.47,Card,4.82,2024-05-21 10:55:24.585057
330,330,27.94,Wallet,1.78,2025-02-02 08:14:24.585057
331,331,96.04,Card,2.27,2024-10-26 03:35:24.585057
332,332,36.91,Card,4.61,2024-08-31 21:18:24.585057
333,333,8.3,Card,1.88,2024-07-06 20:14:24.585057
334,334,61.72,Cash,3.04,2024-06-09 21:53:24.585057
335,335,68.18,Cash,4.87,2024-12-27 16:36:24.585057
336,336,75.29,Card,1.99,2024-06-04 20:20:24.585057
337,337,58.0,Card,2.81,2024-10-17 02:38:24.585057
338,338,81.92,Cash,2.19,2024-11-03 11:33:24.585057
339,339,83.52,Wallet,4.06,2024-09-20 22:36:24.585057
340,340,9.99,Card,0.7,2024-08-04 22:59:24.585057
341,341,61.77,Wallet,0.35,2025-02-27 17:02:24.585057
342,342,83.35,Card,2.16,2024-06-10 08:23:24.585057
343,343,38.5,Card,1.1,2024-05-21 02:04:24.585057
344,344,60.61,Card,3.57,2024-09-24 19:38:24.585057
345,345,74.78,Cash,4.84,2024-09-17 11:41:24.585057
346,346,25.51,Card,0.9,2024-12-23 01:20:24.585057
347,347,23.12,Card,2.28,2024-06-27 10:45:24.585057
348,348,70.29,Cash,1.26,2025-02-12 08:15:24.585057
349,349,88.93,Card,3.58,2024-04-18 06:47:24.585057
350,350,30.56,Card,0.65,2024-05-29 06:26:24.585057
351,351,63.6,Card,4.72,2024-06-05 13:57:24.585057
352,352,45.87,Wallet,1.64,2024-10-10 08:08:24.585057
353,353,34.19,Cash,3.95,2025-01-23 11:34:24.585057
354,354,16.03,Cash,1.39,2024-04-17 12:40:24.585057
355,355,95.89,Card,0.72,2024-11-28 05:20:24.585057
356,356,24.19,Card,3.28,2024-09-21 09:20:24.585057
357,357,65.24,Card,0.76,2024-09-30 05:24:24.585057
358,358,63.49,Wallet,4.77,2024-11-22 11:20:24.585057
359,359,48.13,Wallet,1.82,2024-08-16 01:11:24.585057
360,360,23.37,Card,2.52,2025-03-05 16:42:24.585057
361,361,31.23,Wallet,2.92,2025-02-02 06:38:24.585057
362,362,12.29,Card,2.59,2025-04-02 05:26:24.585057
363,363,34.45,Wallet,0.36,2025-02-07 08:47:24.585057
364,364,96.72,Card,1.75,2024-07-07 03:53:24.585057
365,365,15.04,Wallet,3.5,2024-08-18 15:18:24.585057
366,366,80.52,Wallet,1.91,2025-01-09 18:00:24.585057
367,367,40.36,Card,0.98,2024-06-27 22:40:24.585057
368,368,57.08,Wallet,3.49,2024-08-12 09:32:24.585057
369,369,68.1,Card,1.97,2025-03-03 05:05:24.585057
370,370,56.07,Wallet,4.19,2024-09-09 07:28:24.585057
371,371,68.77,Cash,1.6,2024-06-11 23:33:24.585057
372,372,83.2,Card,2.64,2024-10-18 13:13:24.585057
373,373,92.54,Cash,2.17,2024-08-14 15:20:24.585057
374,374,96.5,Wallet,4.03,2024-10-30 09:17:24.585057
375,375,25.34,Wallet,1.61,2024-09-10 06:22:24.585057
376,376,87.22,Card,3.47,2024-08-20 11:40:24.585057
377,377,17.66,Card,2.41,2024-09-02 22:45:24.585057
378,378,53.59,Card,4.41,2025-04-01 07:33:24.585057
379,379,46.34,Wallet,0.06,2024-07-10 23:50:24.585057
380,380,5.66,Card,0.5,2024-06-23 04:05:24.585057
381,381,99.59,Wallet,4.22,2024-07-04 13:18:24.585057
382,382,35.51,Cash,1.07,2024-12-26 10:06:24.585057
383,383,18.14,Wallet,1.93,2024-09-16 05:00:24.585057
384,384,72.82,Card,1.24,2025-02-27 12:28:24.585057
385,385,30.06,Card,2.86,2025-01-20 11:14:24.585057
386,386,47.98,Wallet,3.61,2024-08-31 23:57:24.585057
387,387,30.32,Card,1.09,2024-07-21 02:55:24.585057
388,388,30.62,Card,1.74,2024-10-07 10:16:24.585057
389,389,67.6,Wallet,3.44,2024-07-16 23:03:24.585057
390,390,66.74,Wallet,3.29,2025-03-01 00:21:24.585057
391,391,9.78,Wallet,2.35,2024-11-08 23:31:24.585057
392,392,62.06,Cash,0.85,2024-10-04 13:09:24.585057
393,393,41.36,Wallet,1.07,2024-10-16 06:44:24.585057
394,394,17.49,Cash,3.4,2024-11-13 15:12:24.585057
395,395,75.18,Cash,1.68,2024-06-10 13:57:24.585057
396,396,30.92,Wallet,3.81,2025-01-15 08:31:24.585057
397,397,89.93,Card,4.52,2024-07-26 07:43:24.585057
398,398,14.27,Card,3.96,2025-04-01 05:51:24.585057
399,399,68.9,Cash,0.53,2024-12-10 16:31:24.585057
400,400,55.24,Cash,1.91,2024-08-17 18:44:24.585057
401,401,21.53,Card,0.31,2024-11-03 08:13:24.585057
402,402,71.31,Card,3.56,2024-08-23 00:19:24.585057
403,403,93.44,Wallet,2.5,2024-10-26 07:37:24.585057
404,404,68.49,Wallet,4.97,2024-08-02 19:30:24.585057
405,405,28.57,Cash,3.84,2025-04-09 20:19:24.585057
406,406,48.01,Wallet,2.81,2024-06-01 06:10:24.585057
407,407,28.79,Wallet,1.62,2024-06-19 18:16:24.585057
408,408,50.0,Card,0.2,2024-08-17 16:44:24.585057
409,409,39.44,Card,4.0,2024-08-28 14:05:24.585057
410,410,41.08,Cash,0.18,2024-12-28 09:09:24.585057
411,411,5.05,Card,4.91,2024-09-29 11:16:24.585057
412,412,21.59,Wallet,1.15,2024-08-17 11:55:24.585057
413,413,78.27,Card,4.85,2024-11-04 10:28:24.585057
414,414,65.42,Wallet,4.18,2025-01-12 14:37:24.585057
415,415,94.09,Wallet,2.01,2025-04-16 05:39:24.585057
416,416,73.35,Cash,0.64,2024-06-26 16:04:24.585057
417,417,62.01,Cash,4.33,2024-04-24 17:21:24.585057
418,418,17.2,Card,1.48,2024-07-24 00:07:24.585057
419,419,19.94,Wallet,1.48,2024-08-05 19:13:24.585057
420,420,56.78,Cash,2.04,2024-12-12 09:11:24.585057
421,421,11.28,Card,2.15,2024-08-19 14:48:24.585057
422,422,69.2,Wallet,3.92,2024-11-12 01:37:24.585057
423,423,15.53,Cash,2.0,2024-05-06 16:28:24.585057
424,424,98.5,Cash,1.19,2025-02-13 04:10:24.585057
425,425,90.97,Wallet,2.14,2024-12-11 22:38:24.585057
426,426,33.82,Card,4.64,2024-11-26 07:06:24.585057
427,427,54.53,Wallet,1.16,2024-09-10 16:02:24.585057
428,428,13.27,Wallet,3.73,2024-06-26 00:27:24.585057
429,429,51.75,Card,1.46,2025-01-09 05:45:24.585057
430,430,61.81,Cash,1.49,2024-08-20 15:45:24.585057
431,431,33.58,Cash,3.96,2024-07-30 06:38:24.585057
432,432,82.95,Card,2.41,2024-12-14 04:29:24.585057
433,433,33.62,Card,1.4,2025-03-02 19:34:24.585057
434,434,90.84,Wallet,4.71,2024-10-01 10:32:24.585057
435,435,14.45,Cash,1.65,2024-09-17 14:47:24.585057
436,436,12.79,Cash,1.44,2025-02-10 13:30:24.585057
